STOCK REPORT 02.08.2019,,,,,,,
№,STOCK CODE,STOCK NAME,STOCK BEGINNING OF DAY,OUTPUT QUANTITY,REMAINING QUANTITY,UNIT,CAN BE MADE (MC)
8,XAM-MST-NS-006,KENO RED LAMİNASİYA,8,0,8,ƏDƏD,8
9,XAM-MST-NS-005,KENO BLACK,389,0,389,ƏDƏD,389
10,XAM-MST-NS-007,KENO BLACK LAMİNASİYA,360,0,360,ƏDƏD,360
11,XAM-MST-NS-011,WANT WHITE,1999,0,1999,ƏDƏD,1999
12,XAM-MST-NS-012,WANT BLACK (EXPORT LAMINASIYALI),1015,0,1015,ƏDƏD,1015
13,XAM-MST-NS-013,WANT SILVER (EXPORT LAMINASIYALI),1343,0,1343,ƏDƏD,1343
14,XAM-MST-NS-014,WANT BLUE (EXPORT LAMINASIYALI),1219,0,1219,ƏDƏD,1219
15,XAM-MST-NS-015,KENO RED (EXPORT LAMINASIYALI),11,0,11,ƏDƏD,11
16,XAM-MST-NS-016,KENO BLUE (EXPORT LAMINASIYALI),429,0,429,ƏDƏD,429
17,XAM-MST-NS-017,WANT WHITE  (EXPORT LAMINASIYALI),2810,0,2810,ƏDƏD,2810
ALÜMİNİUM FOLQA (Aluminum Foil),,,,,,,
1,XAM-ALF-NS-004,ALF BLACK 6.25 MİC,1732.4,0,1732.4,BOBİN,27201
2,XAM-ALF-NS-001,ALF 70 MM,0,0,0,BOBİN,0
3,XAM-ALF-NS-005,ALF SİLVER BRİGHT 6.3 MİC,4092.8,0,4092.8,BOBİN,64261
4,XAM-ALF-NS-002,ALF DARK BLUE  8.25 MİC,672.1,0,672.1,BOBİN,10553
5,XAM-ALF-NS-003,ALF RED 6/25 MİC,334.2,0,334.2,BOBİN,5247
PAÇKA SELLOFAN (BOPP Films),,,,,,,
1,XAM-SEL-NANO-002,PAÇKA SELLAFON 105MMX2400M,2802.7,0,2802.7,BOBİN,92498
2,XAM-SEL-NANO-004,NANO PAÇKA SELLOFAN GLT-18 INNOVIA,90,0,90,BOBİN,5313
3,XAM-SEL-NANO-005,NANO PAÇKA SELLOFAN GLT-20 INNOVIA,90,0,90,BOBİN,5313
BLOK SELLOFAN (BOPP Films),,,,,,,
1,XAM-SEL-NANO-001,BLOK SELLAFON 325 MM 2400M ,399.05,0,399.05,BOBİN,77788
2,XAM-SEL-NANO-003,NANO BLOK SELLOFAN SNC-23 INNOVIA,42,0,42,BOBİN,11315
SİQARET KAĞIZI (Cigarette Paper),,,,,,,
1,XAM-KGZ-NS-001,SİQARET KAĞIZI 19 MM,7544,0,7544,BOBİN,80719
AĞ LENTA (Tear Tape),,,,,,,
1,XAM-ALN-NS-001,AĞ LENTA 1.6 MM-1200 ,102,0,102,BOBİN,141667
2,XAM-ALN-NS-002,QIRMIZI LENTA - 1.6mm/100KM TANN,5,0,5,BOBİN,40816
3,XAM-ALN-NS-003,QIRMIZI LENTA - 6mm/10KM TANN,20,0,20,BOBİN,16327
4,XAM-ALN-NS-004,QIRMIZI LENTA - 2.5mm/5KM TANN,37,0,37,BOBİN,15102
KLEY (Glue),,,,,,,
4,XAM-KLY-NS-004,KLEY PIDILITE FEVICOL FTL - TIPPING,11575.01,0,11575.01,KİLOGRAM,119330
6,XAM-KLY-NS-006,KLEY PIDILITE FEVICOL FR 49 - PAÇKA,4755,0,4755,KİLOGRAM,79250
5,XAM-KLY-NS-005,KLEY PIDILITE FEVICOL FLP - SİQARET,2943,0,2943,KİLOGRAM,133773
1,XAM-KLY-NS-001,KLEY GZ-2 - TIPPING,0,0,0,KİLOGRAM,0
2,XAM-KLY-NS-002,KLEY- 11711 - PAÇKA,0,0,0,KİLOGRAM,0
3,XAM-KLY-NS-003,KLEY-11723 - SİQARET,1254,0,1254,KİLOGRAM,57000
